Type,Diam_cm,Material,X,Y,Z
16,67.0,1,633786.4163298509,3475583.12595899,-0.47969999999622814
16,0.0,1,633800.8444096586,3475573.9893422252,-0.3867000000027474
14,84.0,1,633783.8403592147,3475572.1188804414,-0.4177999999956228
16,0.0,1,633765.7218302017,3475572.719346567,-0.8435000000026776
16,142.0,1,633770.520648147,3475551.797816379,-0.5231999999959953
16,86.0,1,633818.4430732965,3475575.0242389464,-0.010800000003655441
16,98.0,1,633845.6331660013,3475592.156952516,-0.6377000000065891
14,98.0,1,633842.8095638125,3475587.324116728,-0.24869999999646097
14,71.0,1,633839.7400010311,3475542.498888819,0.8852000000042608
18,74.0,1,633851.3358157453,3475576.954101052,-0.37639999999373686
16,76.0,1,633847.9919101454,3475575.650623824,-0.373699999996461
16,103.0,1,633839.6279244203,3475569.0765531776,0.4165999999968335
16,80.0,1,633743.7874358055,3475541.1368640778,-0.8681999999971595
23,189.0,1,633765.8313870714,3475543.1141908206,-0.7823999999964144
18,93.0,1,633793.3373854908,3475545.066208568,-0.42740000000048894
18,75.0,1,633805.5264687799,3475543.6466125106,-0.49069999999483116
14,59.0,1,633849.8875824176,3475557.7125333226,-0.4802999999956228
14,65.0,1,633859.2241658533,3475577.09450074,-1.0709999999962747
16,58.0,1,633891.9130771137,3475578.6657268037,-1.6833000000042375
23,90.0,1,633784.4240947433,3475509.8627058207,-0.4798000000009779
14,65.0,1,633780.9570155828,3475509.0707341484,-0.5541999999986729
16,48.0,1,633796.5201163146,3475499.636192099,-0.22220000000379514
14,65.0,1,633835.8041555862,3475497.72145455,0.8849000000045635
18,86.0,1,633836.2657152272,3475459.2007690156,-0.012499999997089617
14,60.0,1,633833.7727895356,3475451.641687006,-0.11560000000463333
18,66.0,1,633830.4018994226,3475447.159301406,-0.17149999999674037
14,59.0,1,633828.8573722661,3475446.0971450903,-0.27479999999923166
14,65.0,1,633827.8910082523,3475445.998492889,-0.13760000000183936
14,45.0,1,633833.1083797615,3475433.807875398,-0.4327000000048429
14,40.0,1,633832.769457294,3475433.4660775396,-0.44839999999385327
18,71.0,1,633840.349859032,3475431.5215834677,-0.1389000000053784
14,54.0,1,633839.938745339,3475421.663149017,0.12679999999818392
16,0.0,1,633838.4010490149,3475417.626261609,-0.1444000000046799
16,89.0,1,633843.589224007,3475418.3617585213,0.033100000000558794
16,82.0,1,633845.2218388111,3475418.402133784,-0.11239999999816064
14,57.0,1,633849.7676455631,3475412.4295468503,-0.05929999999352731
18,65.0,1,633838.5983046386,3475408.1067738705,-0.2731000000057975
14,60.0,1,633836.171665929,3475408.10357699,-0.461699999999837
14,53.0,1,633834.3867049393,3475406.138844933,-0.5838999999978114
18,69.0,1,633841.8250778033,3475397.010865618,-0.7307000000000698
16,46.0,1,633839.7489168859,3475390.170839661,-0.667700000005425
14,64.0,1,633841.4593764558,3475391.3432507194,-0.6692999999941094
14,40.0,1,633839.4339095547,3475386.9611158883,-0.3436999999976251
14,94.0,1,633840.4466729213,3475385.6715967297,-0.36819999999715947
14,79.0,1,633844.7288144294,3475408.376713513,0.2725999999966007
16,71.0,1,633844.4267908571,3475413.730780288,0.7005000000062864
16,81.0,1,633841.8684751557,3475414.104749629,0.3070000000006985
16,75.0,1,633853.5116199247,3475411.5658534262,-0.10659999999916181
16,120.0,1,633848.6691081012,3475429.432874043,1.1042000000015832
18,74.0,1,633848.745992285,3475432.0733379377,0.15180000000691507
16,114.0,1,633850.0896569875,3475434.9861368826,1.3549000000057276
16,104.0,1,633849.6406750707,3475441.083178866,0.7143999999971129
16,81.0,1,633837.9936648875,3475430.453704251,0.4664000000047963
16,85.0,1,633839.5689980622,3475452.9945148327,0.549299999998766
16,79.0,1,633846.0217206619,3475472.2954358133,1.114900000000489
16,109.0,1,633851.3801827081,3475476.0261052023,1.0844000000070082
16,87.0,1,633823.8737936617,3475489.8056614753,1.2219000000040978
14,67.0,1,633814.9314043513,3475513.472308815,0.8977000000013504
18,70.0,1,633905.9315541569,3475432.4700864023,0.034299999999348074
16,87.0,1,633929.2710705816,3475398.844679433,-0.7819000000017695
16,86.0,1,633928.9886922437,3475403.948841626,-0.8451000000059139
14,54.0,1,633939.0366735542,3475395.9375518197,-1.2133000000030734
16,104.0,1,633942.7291205097,3475395.1898508477,-1.2271999999938998
14,64.0,1,633944.4621182467,3475396.1890782523,-1.1242000000056578
16,71.0,1,633956.0917883613,3475407.4868597034,-1.3944999999948777
16,94.0,1,633958.1950264344,3475410.749000782,-1.471799999999348
16,83.0,1,633962.4241485891,3475431.5188888893,-1.1932999999989988
16,94.0,1,633925.1655019294,3475432.749029133,-0.8818000000028405
14,51.0,1,633923.4884241472,3475433.4055122677,-0.7516000000032363
16,56.0,1,633924.2897885299,3475434.1817342155,-0.919899999993504
16,70.0,1,633920.2462882755,3475430.9230488013,-0.7894999999989523
14,53.0,1,633920.0307543701,3475408.261380681,-1.0307000000029802
14,56.0,1,633924.0171245036,3475407.386962604,-1.327000000004773
14,54.0,1,633926.0032901716,3475405.921138261,-1.4725000000034925
16,102.0,1,633929.1908250622,3475399.514063378,-1.4609999999956926
16,70.0,1,633920.2335764472,3475387.7214122363,-0.7701999999990221
14,70.0,1,633899.7364480041,3475357.641627107,-1.555500000002212
16,55.0,1,633900.3395191669,3475354.3543158732,-1.662400000001071
14,87.0,1,633901.6438028608,3475351.8869975647,-1.8267000000050757
14,41.0,1,633899.4604902277,3475351.2521052677,-1.9364000000059605
14,73.0,1,633895.4666530536,3475353.1479185624,-2.073000000003958
14,90.0,1,633900.2595913593,3475361.8058872935,-1.6542000000044936
16,101.0,1,633899.546405366,3475400.461334013,-0.463900000002468
14,64.0,1,633898.6561745908,3475407.6872653165,-0.5510999999969499
16,64.0,1,633899.4544426564,3475415.5255052256,-1.1802000000025146
18,74.0,1,633890.9635487564,3475425.5558410487,-1.4474000000045635
14,59.0,1,633899.7427001991,3475439.681399224,-0.6146000000007916
14,62.0,1,633901.8507085263,3475441.158710856,-0.5672999999951571
14,61.0,1,633902.6455001434,3475445.0745588522,-0.4529999999940628
16,74.0,1,633925.1125951151,3475426.5527288825,-1.8190000000031432
14,88.0,1,633926.6036389386,3475419.2036082507,-1.8211000000010245
16,86.0,1,633930.61191901,3475415.0330097694,-1.87149999999383
18,60.0,1,633934.0452224188,3475415.016404341,-1.8368000000045868
16,68.0,1,633934.9622151761,3475417.174628816,-1.9790000000066357
14,58.0,1,633905.7581906759,3475461.785581296,4.337100000004284
16,66.0,1,633856.3612887444,3475545.8934542863,0.26810000000114087
14,56.0,1,633856.4762974931,3475536.401418453,0.7841999999945983
14,58.0,1,633875.4387573262,3475451.5544354054,0.5837999999930616
18,58.0,1,633878.8272377999,3475447.747859607,0.8286999999982072
16,91.0,1,633872.2123632843,3475447.9094538293,0.5908999999955995
14,56.0,1,633864.538332222,3475450.601927564,0.38180000000284053
16,86.0,1,633859.4337379031,3475447.2771482063,0.07970000000204891
16,79.0,1,633863.7752063448,3475424.2210054914,-0.3445999999967171
16,88.0,1,633865.777855401,3475424.374841448,-0.4793999999965308
18,59.0,1,633877.1467635822,3475414.664241169,-0.19389999999839347
